"sex","timepoint","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"Female","week 5",3.34690993861542,0.00797880984732001,-1.51512507564285,-0.0120947250480657,0.436758372830723,NA,-2.21465548867643,-5.12532527988008,0.000712682154457149,-2.21465548867643,0.046953738230047,"restored","restored"
"Female","week 10",2.17719959935393,0.0404737017981006,-0.797735421394353,-0.0330942931969752,0.344475118019578,NA,-2.20815891715969,-4.34944806284754,0.000235370248669521,-2.20815891715969,0.0340782618219942,"restored","restored"
"Male","week 5",2.36663439014756,0.099606875736416,-1.04701678096264,0.915503295836604,0.0137313172135645,0.456642874979392,-0.147826625471002,-0.627938275441937,1,-0.147826625471002,1,"not restored","not restored"
"Male","week 10",0.390984590134698,0.703749281513885,-0.318729332049777,0.307303226195066,0.131618448808796,NA,-0.0370993135116569,-1.98066448614356,0.111943981664503,-0.0370993135116569,0.970623989289904,"not restored","not restored"
